Load Record,Item Number
9242822,1690
9252202,132795
9252543,200319
9272972,59
9242822,1689
9242580,1300
9272923,2
9252475,97361
9252026,67808
9242602,1759
9252205,120317
9242879,20
9261128,47
9261128,48
9252202,135541
9242960,5
9252202,135371
9272942,316
9262205,40
9252202,137981
9252033,66955
9254412,52685
9254412,52681
9252202,132421
9254412,52679
9254412,52683
9254412,52674
9272925,1
9252543,203542
9261109,3
9252211,132490
9252211,132131
9252211,132233
9252201,173725
9252030,50816
9252205,121146
9252543,200850
9242501,50341
9272890,708
9252277,53966
9262450,50668
9251298,57398
9262201,51251
9272975,1
9251136,312
9261128,31
9261128,32
9252202,135674
9252202,134024
9261128,121
9272914,12
9252543,205190
9254412,52775
9252543,204187
9272969,252
9272960,7
9252202,135377
9242586,247
9262205,52655
9261128,58
9252249,50032
9242580,1503
9242752,81
9252450,56775
9252202,137216
9272890,661
9242553,799
9242822,1944
9242866,120
9262201,50851
9252543,35785
9252543,146829
9242543,51393
9272944,1
9261128,120
9261128,97
9261128,80
9252202,144426
9242580,1168
9252543,208051
9272890,479
9262201,51415
9252202,142030
9252543,129223
9261128,45
9261128,14
9261128,7
9252078,58355
9252543,208271
9242602,1809
9262201,51399
9272915,247
9262201,52017
9242553,197
9252531,54884
9252543,206935
9252543,206939
9252543,206967
9254412,52675
9262450,50642
9254412,52673
9254412,52677
9254412,52676
9254412,52686
9254412,52678
9254412,52682
9272951,1
9252202,135549
9272923,1
9252205,119747
9252320,52575
9254412,52680
9252205,121729
9262201,51517
9242580,600
9242580,601
9252423,61950
9262201,50850
9252543,206922
9262201,52518
9262450,51397
9252202,134991
9261128,75
9261128,125
9261128,148
9261128,127
9261128,147
9252602,50092
9272958,10
9252205,119342
9252543,203267
9252543,203266
9252056,51173
9242868,31
9262450,50638
9262450,50639
9242822,1012
9262201,52538
9262201,52138
9252296,53228
9252202,134961
9254412,52684
9254412,52672
9242841,57
9252423,61944
9252056,51175
9242879,12
9272825,1172
9252249,50033
9252052,52590
9252450,56700
9252078,58131
9252403,55470
9252205,119635
9252500,2662
9242632,317
9272942,411
9242580,1381
9262205,50490
9273008,1
9262450,50959
9262450,50663
9262450,50667
9262475,52275
9272971,47
9272890,227
9252543,200367
9262205,50271
9272928,82
9272915,250
9261128,61
9242822,282
9252543,208408
9252450,56703
9242822,280
9242552,595
9252543,208412
9252202,134023
9252580,50498
9242822,1013
9252543,203265
9252543,200849
9242822,1985
9261128,28
9272914,17
9252205,121511
9242570,609
9252547,577
9242580,1468
9272914,14
9232261,54027
9242623,28
9242822,3735
9261128,71
9261128,77
9252202,142033
9242602,1824
9272958,11
9242558,577
9252201,120118
9242373,855
9242580,410
9242822,1239
9262205,50273
9252384,800
9254412,52776
9242580,599
9252543,205356
9252201,174957
9261109,8
9252543,208460
9232417,58908
9262201,52526
9262201,51256
9272890,404
9242854,108
9252205,125378
9242822,1927
9252543,200365
9252545,61040
9242438,1490
9262205,50481
9242822,1700
9242822,1754
9252205,119345
9262205,38
9262201,50747
9252056,51172
9252543,141177
9242822,1390
9252450,56887
9252543,205353
9252202,133345
9252201,173768
9262201,50138
9252450,56575
9262423,79
9272825,2219
9252026,68296
9272825,1975
9242543,140052
9242026,16149
9252211,137275
9252205,120316
9272960,68
9272942,265
9242774,267
9252205,121177
9252026,68156
9252543,206947
9252202,135874
9272942,199
9252202,59816
9252202,142031
9272914,15
9242749,11
9242543,140050
9242543,222577
9272954,132
9242822,1447
9252543,203277
9252201,173384
9262201,52016
9252202,134867
9272914,25
9262201,51123
9254412,52701
9252201,174889
9252450,56746
9252475,97037
9252201,173767
9262205,50489
9252201,176593
9272915,100
9252202,138049
9252205,119628
9252543,204381
9272914,24
9252201,174608
9261109,6
9272915,235
9262450,50666
9262450,50669
9262450,50660
9242822,1143
9252423,61989
9242822,1384
9262205,50800
9262450,50662
9252202,140952
9262201,51121
9252450,56649
9252078,58281
9252450,56945
9272975,2
9272928,128
9252211,137271
9242673,75
9242814,47
9242553,541
9252211,137318
9272825,2228
9252202,143153
9242822,1707
9242822,1144
9252450,5267
9252202,69522
9252205,50024
9254412,52719
9251322,63
9252211,132235
9252450,56597
9252064,52867
9252201,178580
9261128,98
9262205,50082
9272918,29
9252543,208378
9252201,175266
9262450,50091
9272915,242
9252205,119959
9262201,50635
9254412,52792
9252450,56753
9242822,818
9253100,72157
9261128,79
9252543,206912
9261128,95
9261128,73
9251286,52
9251286,51
9252202,135399
9251288,39
9262201,52442
9252547,733
9272953,12
9272914,16
9242617,61
9252205,125170
9262205,51519
9262201,50317
9252078,58165
9242822,1549
9262205,50721
9242822,2206
9252543,34552
9242822,1318
9252201,59421
9252202,135288
9252543,121778
9262201,51124
9252543,121794
9252201,174883
9252543,122461
9252202,1096
9262201,51320
9252435,16325
9254412,52697
9254412,52759
9252205,119346
9252543,205357
9252543,205351
9252201,174891
9252201,174605
9252745,183
9242822,1449
9242822,1386
9252423,61965
9262475,52816
9272915,244
9252202,1095
9252202,135672
9252202,135851
9272890,362
9252201,36431
9254412,52746
9252201,19742
9252211,46674
9252450,56581
9272915,167
9272890,270
9242971,18
9272918,32
9242822,1696
9252543,120427
9261128,155
9261128,156
9261128,104
9252033,66720
9261128,99
9242822,1372
9262450,50641
9262205,50133
9252078,58435
9254446,3
9252423,61878
9252202,134700
9252068,50543
9262201,50991
9262201,52718
9252066,50711
9252202,51089
9262450,50777
9262450,50634
9262201,51533
9261128,113
9261128,37
9262201,50141
9272913,32
9252543,129746
9252450,5612
9252752,50312
9242822,1322
9272960,3
9252543,206921
9242569,109
9252201,176565
9242580,957
9252543,34407
9252543,135439
9252450,2251
9252543,146825
9252547,1163
9254412,52756
9252543,200316
9252205,119340
9252201,173382
9252299,50414
9252205,121176
9252201,174893
9252201,174890
9252201,174885
9252450,56769
9272915,10
9272915,186
9242822,1450
9262201,51258
9252398,50481
9242971,19
9242553,845
9272914,5
9242543,67020
9272915,173
9252543,120425
9251510,170
9262205,50801
9252201,178918
9242866,154
9252475,97036
9252201,178626
9252543,146828
9252205,57476
9252403,55847
9262201,51532
9252543,206952
9272915,16
9242822,306
9252205,121593
9252475,97253
9242553,1535
9242205,67767
9242205,67764
9242298,3009
9252207,247
9252202,141031
9252580,50583
9254412,52721
9252202,133361
9252543,200341
9252543,200342
9272825,2218
9252043,52678
9252202,133355
9252296,53096
9272825,1974
9262201,51249
9262205,50488
9242868,32
9252202,143401
9252543,97178
9242580,899
9252464,2480
9252543,143174
9252546,75
9252202,29645
9254412,52771
9252543,200322
9252205,119339
9252543,200318
9252205,119750
9252056,51174
9252543,205352
9252543,205053
9252201,174884
9272915,49
9252201,174610
9252201,174611
9252201,174613
9252543,203275
9252543,203276
9252201,177720
9262450,50640
9272954,134
9262205,50135
9252205,119752
9262205,50216
9252547,732
9262201,50806
9242822,1705
9272942,215
9242860,10
9242580,898
9262205,51371
9242580,900
9272942,216
9262201,52015
9252543,146824
9254439,90
9242864,15
9272982,237
9252052,52594
9252201,118617
9272928,111
9252543,97177
9254412,52772
9252201,175313
9252026,68463
9252202,141691
9262201,52071
9272915,171
9242822,622
9252248,73155
9252201,106768
9242602,1805
9242602,1801
9242627,9
9242553,77
9262201,51715
9272942,114
9242580,1127
9252202,43920
9252201,110710
9252543,146816
9262423,74
9252205,121213
9252543,204151
9252201,178631
9242864,14
9272915,168
9272942,115
9262201,51250
9252543,200339
9251303,5
9252543,204152
9252205,120329
9252201,174609
9252543,203111
9252202,134568
9251208,65195
9252211,132236
9252202,134056
9252423,61858
9252450,56622
9252201,173726
9262450,50469
9252543,207683
9261109,5
9242822,1595
9252211,137133
9242822,1236
9262450,50659
9252248,72840
9262450,50658
9262201,51257
9262205,52438
9242822,1325
9262450,51126
9272942,263
9272942,272
9262450,51327
9252211,137382
9262205,50487
9272942,229
9252211,137384
9252078,58436
9262475,52420
9252201,180546
9242602,1817
9252248,73150
9242822,2259
9252433,51016
9242822,1984
9242854,132
9252543,206958
9242822,1327
9242558,584
9252543,4269
9261106,38
9252205,50654
9252551,50118
9252047,55167
9242580,597
9252202,133715
9252205,119634
9254412,52801
9252543,202275
9252202,133062
9252388,51536
9252543,201122
9241357,64893
9272953,45
9252403,55786
9262475,52815
9252201,178103
9252447,50431
9252447,50434
9262205,50272
9262205,52973
9252205,125379
9242822,293
9262201,52348
9262201,52005
9252470,51232
